"variable","item","verified_short_label","construct","wording_source","codebook_pdf_page","source_type","appended_context","routing_notes","missingness_type","sample_system_missing","base_decision","model1","model2","model3","exclusion_note","label_review","raw_observed","measurement","questionnaire_item","questionnaire_pdf_page"
"Q386_Q390R3","Q386_Q390R3","Q386_Q390R3","Q386_Q390r3: When it comes to education, Asian Americans strive to achieve too m","ICPSR variable label; may be truncated",345,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1294,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",5447,"Original labelled categories or source type",NA,NA
"Q386_Q390R4","Q386_Q390R4","Q386_Q390R4","Q386_Q390r4: Asian Americans need to embrace American values more - Do you agree","ICPSR variable label; may be truncated",345,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1294,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",5447,"Original labelled categories or source type",NA,NA
"Q386_Q390R5","Q386_Q390R5","Q386_Q390R5","Q386_Q390r5: It is annoying when Asian Americans speak in their own languages in","ICPSR variable label; may be truncated",346,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1294,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",5447,"Original labelled categories or source type",NA,NA
"Q391_Q393R1","Q391_Q393R1","Q391_Q393R1","Q391_Q393r1: Job - Would you say that your political views are in line with most","ICPSR variable label; may be truncated",346,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1845,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",5479,"Original labelled categories or source type",NA,NA
"Q391_Q393R2","Q391_Q393R2","Q391_Q393R2","Q391_Q393r2: Church or place of worship - Would you say that your political view","ICPSR variable label; may be truncated",346,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1845,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",5479,"Original labelled categories or source type",NA,NA
"Q391_Q393R3","Q391_Q393R3","Q391_Q393R3","Q391_Q393r3: Volunteer Organization - Would you say that your political views ar","ICPSR variable label; may be truncated",347,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1845,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",5479,"Original labelled categories or source type",NA,NA
"Q394","Q394","Q394","Q394: Do you have a plan for disasters or emergencies for your household?","ICPSR variable label; may be truncated",347,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1845,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",5479,"Original labelled categories or source type",NA,NA
"Q395","Q395","Q395","Q395: How much can [pipe: S2_Race_Prime]s like you influence the outcome of elec","ICPSR variable label; may be truncated",348,"Survey item or survey routing field",FALSE,"Condition joined: S2_RACE_PRIME","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q396_Q398R1","Q396_Q398R1","Q396_Q398R1","Q396_Q398r1: Medical science, like in-vitro fertilization (where the egg and spe","ICPSR variable label; may be truncated",348,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",13039,"Original labelled categories or source type",NA,NA
"Q396_Q398R2","Q396_Q398R2","Q396_Q398R2","Q396_Q398r2: People should always follow the advice given to them by medical pra","ICPSR variable label; may be truncated",349,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",13039,"Original labelled categories or source type",NA,NA
"Q396_Q398R3","Q396_Q398R3","Q396_Q398R3","Q396_Q398r3: Patients have sometimes been deceived or misled by medical practiti","ICPSR variable label; may be truncated",349,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",13039,"Original labelled categories or source type",NA,NA
"Q399","Q399","Q399","Q399: Do you think that in-vitro fertilization (IVF) is morally acceptable?","ICPSR variable label; may be truncated",349,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",13039,"Original labelled categories or source type",NA,NA
"Q400","Q400","Q400","Q400: Today, in the US, one in ten women has trouble getting or staying pregnant","ICPSR variable label; may be truncated",350,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",13039,"Original labelled categories or source type",NA,NA
"Q401_Q404R1","Q401_Q404R1","Q401_Q404R1","Q401_Q404r1: Black and White women experience sexism in different ways - Do you","ICPSR variable label; may be truncated",350,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1011,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",11089,"Original labelled categories or source type",NA,NA
"Q401_Q404R2","Q401_Q404R2","Q401_Q404R2","Q401_Q404r2: In order to achieve the changes we seek, we must fight racism as we","ICPSR variable label; may be truncated",351,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1011,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",11089,"Original labelled categories or source type",NA,NA
"Q401_Q404R3","Q401_Q404R3","Q401_Q404R3","Q401_Q404r3: It concerns me that racism within the lesbian and gay community mak","ICPSR variable label; may be truncated",351,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1011,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",11089,"Original labelled categories or source type",NA,NA
"Q401_Q404R4","Q401_Q404R4","Q401_Q404R4","Q401_Q404r4: It concerns me that sexism among Black men makes it difficult for B","ICPSR variable label; may be truncated",352,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1011,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",11089,"Original labelled categories or source type",NA,NA
"Q405","Q405","Q405","Q405: Some people feel that the government in Washington should make every effor","ICPSR variable label; may be truncated",352,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1845,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",5479,"Original labelled categories or source type",NA,NA
"Q406","Q406","Q406","Q406: Since early 2020, the U.S. has been dealing with disruptions and health an","ICPSR variable label; may be truncated",352,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q407R1","Q407","Q407R1","Q407r1: Personal or family health","ICPSR variable label; may be truncated",353,"Survey item or survey routing field",FALSE,"Skipped Q406=3, unchanged political activity; Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1154,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",7806,"Original labelled categories or source type",NA,NA
"Q407R2","Q407","Q407R2","Q407r2: Personal or family finances","ICPSR variable label; may be truncated",353,"Survey item or survey routing field",FALSE,"Skipped Q406=3, unchanged political activity; Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1154,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",7806,"Original labelled categories or source type",NA,NA
"Q407R3","Q407","Q407R3","Q407r3: Social changes like distancing and closures","ICPSR variable label; may be truncated",354,"Survey item or survey routing field",FALSE,"Skipped Q406=3, unchanged political activity; Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1154,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",7806,"Original labelled categories or source type",NA,NA
"Q407R4","Q407","Q407R4","Q407r4: New policies and issues","ICPSR variable label; may be truncated",354,"Survey item or survey routing field",FALSE,"Skipped Q406=3, unchanged political activity; Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1154,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",7806,"Original labelled categories or source type",NA,NA
"Q407R5","Q407","Q407R5","Q407r5: Other (Specify) - And what was it that made you","ICPSR variable label; may be truncated",354,"Survey item or survey routing field",FALSE,"Skipped Q406=3, unchanged political activity; Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1154,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",7806,"Original labelled categories or source type",NA,NA
"Q407R5OE","Q407R5OE","Q407R5OE","Q407r5oe: And what was it that made you","ICPSR variable label; may be truncated",355,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Uncoded/free-text field; no text model",FALSE,FALSE,FALSE,"Uncoded/free-text field; no text model","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q408","Q408","Q408","Q408: How often when you are inside a public place, like a store, office, or bus","ICPSR variable label; may be truncated",355,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q409","Q409","Q409","Q409: In general would you rate your physical health as excellent, very good, go","ICPSR variable label; may be truncated",355,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q410","Q410","Q410","Q410: In general would you rate your mental health as excellent, very good, good","ICPSR variable label; may be truncated",356,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q411_Q416R1","Q411_Q416R1","Q411_Q416R1","Q411_Q416r1: Little interest or pleasure in doing things - Over the last 2 weeks","ICPSR variable label; may be truncated",356,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q411_Q416R2","Q411_Q416R2","Q411_Q416R2","Q411_Q416r2: Feeling down, depressed, or hopeless - Over the last 2 weeks, how o","ICPSR variable label; may be truncated",356,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q411_Q416R3","Q411_Q416R3","Q411_Q416R3","Q411_Q416r3: Feeling nervous, anxious, or on edge - Over the last 2 weeks, how o","ICPSR variable label; may be truncated",357,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q411_Q416R4","Q411_Q416R4","Q411_Q416R4","Q411_Q416r4: Feeling afraid as if something awful might happen - Over the last 2","ICPSR variable label; may be truncated",357,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q411_Q416R5","Q411_Q416R5","Q411_Q416R5","Q411_Q416r5: My mind can","ICPSR variable label; may be truncated",358,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q411_Q416R6","Q411_Q416R6","Q411_Q416R6","Q411_Q416r6: Uncertainty makes me uneasy, anxious or stressed - Over the last 2","ICPSR variable label; may be truncated",358,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"SPLITQ417_Q424","SPLITQ417_Q424","SPLITQ417_Q424","splitQ417_Q424: Holds split var","ICPSR variable label; may be truncated",358,"Administration / derived field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Routing/experiment metadata; joined to response where required",FALSE,FALSE,FALSE,"Routing/experiment metadata; joined to response where required","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q417_Q424R1","Q417_Q424R1","Q417_Q424R1","Q417_Q424r1: Reparations to Black Americans to address inequities created by gen","ICPSR variable label; may be truncated",359,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1697,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",2688,"Original labelled categories or source type",NA,NA
"Q417_Q424R2","Q417_Q424R2","Q417_Q424R2","Q417_Q424r2: Reparations to Black Americans to address America","ICPSR variable label; may be truncated",359,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1679,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",2759,"Original labelled categories or source type",NA,NA
"Q417_Q424R3","Q417_Q424R3","Q417_Q424R3","Q417_Q424r3: Shifting some funds from local police departments to local social s","ICPSR variable label; may be truncated",360,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1697,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",2688,"Original labelled categories or source type",NA,NA
"Q417_Q424R4","Q417_Q424R4","Q417_Q424R4","Q417_Q424r4: Defunding local police departments. - To what degree would you supp","ICPSR variable label; may be truncated",360,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1679,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",2759,"Original labelled categories or source type",NA,NA
"Q417_Q424R5","Q417_Q424R5","Q417_Q424R5","Q417_Q424r5: Developing a federal standard in education, ensuring that kindergar","ICPSR variable label; may be truncated",360,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1697,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",2688,"Original labelled categories or source type",NA,NA
"Q417_Q424R6","Q417_Q424R6","Q417_Q424R6","Q417_Q424r6: Developing a federal standard in education, ensuring that kindergar","ICPSR variable label; may be truncated",361,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1679,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",2759,"Original labelled categories or source type",NA,NA
"Q417_Q424R7","Q417_Q424R7","Q417_Q424R7","Q417_Q424r7: Ensuring affirmative action in jobs and universities so that Blacks","ICPSR variable label; may be truncated",361,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1697,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",2688,"Original labelled categories or source type",NA,NA
"Q417_Q424R8","Q417_Q424R8","Q417_Q424R8","Q417_Q424r8: Ensuring affirmative action in jobs and universities so that everyo","ICPSR variable label; may be truncated",362,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1679,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",2759,"Original labelled categories or source type",NA,NA
"Q425","Q425","Q425","Q425: How important is religion in your life","ICPSR variable label; may be truncated",362,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q426R1","Q426R1","Q426R1","Q426r1: NAME: - Earlier you mentioned that you participate in worship services o","ICPSR variable label; may be truncated",363,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","Disclosure masked",0,"ICPSR disclosure-masked field",FALSE,FALSE,FALSE,"ICPSR disclosure-masked field","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q426R2","Q426R2","Q426R2","Q426r2: CITY: - Earlier you mentioned that you participate in worship services o","ICPSR variable label; may be truncated",363,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","Disclosure masked",0,"ICPSR disclosure-masked field",FALSE,FALSE,FALSE,"ICPSR disclosure-masked field","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"NOANSWERQ426_R3","NOANSWERQ426_R3","NOANSWERQ426_R3","noanswerQ426_r3: Earlier you mentioned that you participate in worship services","ICPSR variable label; may be truncated",363,"Administration / derived field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",683,"Routing/experiment metadata; joined to response where required",FALSE,FALSE,FALSE,"Routing/experiment metadata; joined to response where required","Code retained; full wording/short label requires review",11420,"Original labelled categories or source type",NA,NA
"Q427R1","Q427R1","Q427R1","Q427r1: NAME: - Earlier you mentioned that you do not participate in worship ser","ICPSR variable label; may be truncated",364,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","Disclosure masked",0,"ICPSR disclosure-masked field",FALSE,FALSE,FALSE,"ICPSR disclosure-masked field","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q427R2","Q427R2","Q427R2","Q427r2: CITY: - Earlier you mentioned that you do not participate in worship ser","ICPSR variable label; may be truncated",364,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","Disclosure masked",0,"ICPSR disclosure-masked field",FALSE,FALSE,FALSE,"ICPSR disclosure-masked field","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"NOANSWERQ427_R3","NOANSWERQ427_R3","NOANSWERQ427_R3","noanswerQ427_r3: Earlier you mentioned that you do not participate in worship se","ICPSR variable label; may be truncated",364,"Administration / derived field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1399,"Routing/experiment metadata; joined to response where required",FALSE,FALSE,FALSE,"Routing/experiment metadata; joined to response where required","Code retained; full wording/short label requires review",6125,"Original labelled categories or source type",NA,NA
"Q428R1","Q428","Q428R1","Q428r1: Percent White - Please indicate the approximate racial/ethnic compositio","ICPSR variable label; may be truncated",365,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",683,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",11420,"Continuous quantity / allocation",NA,NA
"Q428R2","Q428","Q428R2","Q428r2: Percent Black - Please indicate the approximate racial/ethnic compositio","ICPSR variable label; may be truncated",366,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",683,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",11420,"Continuous quantity / allocation",NA,NA
"Q428R3","Q428","Q428R3","Q428r3: Percent Hispanic - Please indicate the approximate racial/ethnic composi","ICPSR variable label; may be truncated",368,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",683,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",11420,"Continuous quantity / allocation",NA,NA
"Q428R4","Q428","Q428R4","Q428r4: Percent Asian - Please indicate the approximate racial/ethnic compositio","ICPSR variable label; may be truncated",370,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",683,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",11420,"Continuous quantity / allocation",NA,NA
"Q428R6","Q428","Q428R6","Q428r6: Percent American Indian/Native Indian - Please indicate the approximate","ICPSR variable label; may be truncated",371,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",683,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",11420,"Continuous quantity / allocation",NA,NA
"Q428R5","Q428","Q428R5","Q428r5: Percent Other - Please indicate the approximate racial/ethnic compositio","ICPSR variable label; may be truncated",373,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",683,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",11420,"Continuous quantity / allocation",NA,NA
"Q429_Q440R1","Q429_Q440R1","Q429_Q440R1","Q429_Q440r1: Antisemitism no longer matters in the US - Please indicate your lev","ICPSR variable label; may be truncated",375,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q429_Q440R2","Q429_Q440R2","Q429_Q440R2","Q429_Q440r2: Discrimination against Muslims will soon be a thing of the past - P","ICPSR variable label; may be truncated",375,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q429_Q440R3","Q429_Q440R3","Q429_Q440R3","Q429_Q440r3: Our social structure system privileges Christians - Please indicate","ICPSR variable label; may be truncated",376,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q429_Q440R4","Q429_Q440R4","Q429_Q440R4","Q429_Q440r4: Jews have more power and influence than other groups in this countr","ICPSR variable label; may be truncated",376,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q429_Q440R5","Q429_Q440R5","Q429_Q440R5","Q429_Q440r5: America must protect and preserve its White European heritage - Ple","ICPSR variable label; may be truncated",376,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q429_Q440R6","Q429_Q440R6","Q429_Q440R6","Q429_Q440r6: America must protect and preserve its multiracial heritage - Please","ICPSR variable label; may be truncated",377,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q429_Q440R7","Q429_Q440R7","Q429_Q440R7","Q429_Q440r7: The federal government should advocate the values of racial minorit","ICPSR variable label; may be truncated",377,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
