"variable","construct","storage","raw_observed"
"Q339","Q339: If you had to choose one approach to improving the status and well-being o","factor",17545
"Q340_RACE_1","Q340_Race_1: Holds Race for Candidate 1","factor",17545
"Q340_RACE_2","Q340_Race_2: Holds Race for Candidate 2","factor",17545
"Q340_GENDER_1","Q340_Gender_1: Holds Gender for Candidate 1","factor",17545
"Q340_GENDER_2","Q340_Gender_2: Holds Gender for Candidate 2","factor",17545
"Q340_EXP_1","Q340_Exp_1: Holds Prior Experience for Candidate 1","factor",17545
"Q340_EXP_2","Q340_Exp_2: Holds Prior Experience for Candidate 2","factor",17545
"Q340_VOUCHER_1","Q340_Voucher_1: Holds House Voucher for Candidate 1","factor",17545
"Q340_VOUCHER_2","Q340_Voucher_2: Holds House Voucher for Candidate 2","factor",17545
"Q340_EVICT_1","Q340_Evict_1: Holds Evictions for Candidate 1","factor",17545
"Q340_EVICT_2","Q340_Evict_2: Holds Evictions for Candidate 2","factor",17545
"Q340_BUILD_1","Q340_Build_1: Holds Building Affordable Housing for Candidate 1","factor",17545
"Q340_BUILD_2","Q340_Build_2: Holds Building Affordable Housing for Candidate 2","factor",17545
"Q340_GUN_1","Q340_Gun_1: Holds Gun Control for Candidate 1","factor",17545
"Q340_GUN_2","Q340_Gun_2: Holds Gun Control for Candidate 2","factor",17545
"Q340AR1","q340ar1: * [pipe: Q340_Race_1] -","factor",17545
"Q340AR2","q340ar2: * [pipe: Q340_Gender_1] -","factor",17545
"Q340AR3","q340ar3: * [pipe: Q340_Exp_1] -","factor",17545
"Q340AR4","q340ar4: * [pipe: Q340_Voucher_1] -","factor",17545
"Q340AR5","q340ar5: * [pipe: Q340_Evict_1] -","factor",17545
"Q340AR6","q340ar6: * [pipe: Q340_Build_1] -","factor",17545
"Q340AR7","q340ar7: * [pipe: Q340_Gun_1] -","factor",17545
"Q340BR1","q340br1: * [pipe: Q340_Race_2] - Candidate B hidden place holder for piping","factor",17545
"Q340BR2","q340br2: * [pipe: Q340_Gender_2] - Candidate B hidden place holder for piping","factor",17545
"Q340BR3","q340br3: * [pipe: Q340_Exp_2] - Candidate B hidden place holder for piping","factor",17545
"Q340BR4","q340br4: * [pipe: Q340_Voucher_2] - Candidate B hidden place holder for piping","factor",17545
"Q340BR5","q340br5: * [pipe: Q340_Evict_2] - Candidate B hidden place holder for piping","factor",17545
"Q340BR6","q340br6: * [pipe: Q340_Build_2] - Candidate B hidden place holder for piping","factor",17545
"Q340BR7","q340br7: * [pipe: Q340_Gun_2] - Candidate B hidden place holder for piping","factor",17545
"Q340AAR1","q340aar1: Holds order for Candidate A","factor",17545
"Q340BBR1","q340bbr1: Holds order for Candidate B","factor",17545
"Q340","Q340: Which candidate would you vote for?","factor",17545
"Q341R1","Q341r1: Candidate 1:","factor",17545
"Q341R2","Q341r2: Candidate 2: - If you have up to 1 hour, how much time are you willing t","factor",17545
"Q343R1","Q343r1: Building more duplexes, townhomes, and low-rise apartments - Do you supp","factor",17545
"Q343R2","Q343r2: Banning discrimination against section 8 voucher use - Do you support th","factor",17545
"Q343R3","Q343r3: Limiting evictions - Do you support the following policies?","factor",17545
"Q343R4","Q343r4: Rent control - Do you support the following policies?","factor",17545
"Q347SPLIT","q347split: holds split for q347","factor",17545
"Q347","Q347: Thinking about the representation and diversity of your local [pipe: q347s","factor",17545
"Q348","Q348: How much influence do you think [pipe: S2_Race_Prime] people have over you","factor",17545
"Q349","Q349: How much do you think your local [pipe: q347split] care about the prioriti","factor",17545
"Q350","Q350: How much real improvement do you think there has been in the economic posi","factor",17545
"Q351","Q351: Now what about in your neighborhood. How much real improvement do you thin","factor",17545
"Q352","Q352: When it comes to undocumented Mexican immigrants who are already living an","factor",17545
"Q353","Q353: Thinking about your overall giving, what would you say was the total dolla","factor",765
"Q354","Q354: Thinking about your overall giving, what would you say was the total dolla","factor",765
"Q355R1","Q355r1: Relief organizations for overseas relief efforts - Which of the followin","factor",765
"Q355R2","Q355r2: Relief organizations for domestic poverty alleviation - Which of the fol","factor",765
"Q355R3","Q355r3: Civil rights organizations dedicated to protecting the rights of people","factor",765
"Q355R4","Q355r4: Educational purpose - Which of the following have you contributed to?","factor",765
"Q355R5","Q355r5: Youth and family services - Which of the following have you contributed","factor",765
"Q355R6","Q355r6: Arts and culture - Which of the following have you contributed to?","factor",765
"Q355R7","Q355r7: Health care or medical research - Which of the following have you contri","factor",765
"Q355R8","Q355r8: Preserving the environment - Which of the following have you contributed","factor",765
"Q355R9","Q355r9: None of these - Which of the following have you contributed to?","factor",765
"Q356","Q356: Over the past year, did you participate in a Black Lives Matter protest or","factor",17545
"Q357","Q357: About how many days did you go to a Black Lives Matter protest?","factor",2500
"Q358","Q358: Based on everything you have heard or seen, how much do you support or opp","factor",17545
"Q359R1","Q359r1: [pipe: S2_Race_Prime]s have a responsibility to support the Black Lives","factor",17545
"Q359R2","Q359r2: [pipe: S2_Race_Prime]s will benefit from the success of the Black Lives","factor",17545
"Q359R3","Q359r3: When Americans speak up and protest injustice in the U.S., it always mak","factor",17545
"Q359R4","Q359r4: When Black Americans speak up and protest injustice in the U.S., it alwa","factor",17545
"Q363","Q363: Thinking about government services, political power and representation, wo","factor",8810
"Q364SPLIT","q364split: holds split for q364","factor",8810
"Q364","Q364: If there were protests in your area, how comfortable or uncomfortable woul","factor",4417
"Q365","Q365: If there were Black Lives Matter protests in your area, how comfortable or","factor",4393
"Q366R1","Q366r1: No, I did not engage online on this issue at all - Thinking about the is","factor",17545
"Q366R2","Q366r2: Yes, I engaged in support of BLM - Thinking about the issue of police vi","factor",17545
"Q366R3","Q366r3: Yes, I engaged in support of police - Thinking about the issue of police","factor",17545
"Q366R4","Q366r4: Yes, I engaged in general on the issue - Thinking about the issue of pol","factor",17545
"Q367","Q367: In response to the killing of George Floyd in Minnesota, millions of peopl","factor",17545
"Q368","Q368: During the summer of 2020, Black Lives Matter and protesters around the wo","factor",17545
"Q369","Q369: Which statement do you agree the most:","factor",6165
"Q370","Q370: Which statement do you agree the most:","factor",6165
"Q371","Q371: During the COVID-19 pandemic, the Center for Disease Control (CDC) suggest","factor",17545
"Q372","Q372: As far as you know, when you are inside a public place, like a store, offi","factor",17545
"Q373","Q373: How would you describe the role of Mosque in spreading awareness about COV","factor",765
"Q374","Q374: What percentage of your total charitable contributions did you make this R","factor",765
"Q375","Q375: Do you think your charitable contributions in this Ramadan when compared t","factor",765
"Q376","Q376: When you are out in public, how often do you wear religious garb or a head","factor",765
"Q377","Q377: We are interested in your reactions to some things that happen in everyday","factor",5447
"Q378","Q378: Tim is a White man who owns a hair salon. His business is growing rapidly","factor",5447
"Q379","Q379: Milford is a mid-sized city in the Northeast. The main bus depot for the c","factor",5447
"Q380","Q380: Michael is a young Black man who lives in a midwestern city. One day Micha","factor",5447
"Q381_Q383R1","Q381_Q383r1: Where would you rate Whites in general on this scale? - Now we have","factor",17545
"Q381_Q383R2","Q381_Q383r2: Where would you rate Blacks in general on this scale? - Now we have","factor",17545
"Q381_Q383R3","Q381_Q383r3: Where would you rate Latinos in general on this scale? - Now we hav","factor",17545
"Q384R1","Q384r1: Some people say the Black Lives Matter protests in the Summer of 2020 we","factor",17545
"Q385","Q385: As you may have heard, in the wake of the murder of George Floyd and prote","factor",17545
"Q386_Q390R1","Q386_Q390r1: Asian Americans are often overly competitive for their success. - D","factor",5447
"Q386_Q390R2","Q386_Q390r2: Asian Americans make the job market too competitive - Do you agree","factor",5447
"Q386_Q390R3","Q386_Q390r3: When it comes to education, Asian Americans strive to achieve too m","factor",5447
"Q386_Q390R4","Q386_Q390r4: Asian Americans need to embrace American values more - Do you agree","factor",5447
"Q386_Q390R5","Q386_Q390r5: It is annoying when Asian Americans speak in their own languages in","factor",5447
"Q391_Q393R1","Q391_Q393r1: Job - Would you say that your political views are in line with most","factor",5479
"Q391_Q393R2","Q391_Q393r2: Church or place of worship - Would you say that your political view","factor",5479
"Q391_Q393R3","Q391_Q393r3: Volunteer Organization - Would you say that your political views ar","factor",5479
"Q394","Q394: Do you have a plan for disasters or emergencies for your household?","factor",5479
"Q395","Q395: How much can [pipe: S2_Race_Prime]s like you influence the outcome of elec","factor",17545
"Q396_Q398R1","Q396_Q398r1: Medical science, like in-vitro fertilization (where the egg and spe","factor",13039
"Q396_Q398R2","Q396_Q398r2: People should always follow the advice given to them by medical pra","factor",13039
"Q396_Q398R3","Q396_Q398r3: Patients have sometimes been deceived or misled by medical practiti","factor",13039
"Q399","Q399: Do you think that in-vitro fertilization (IVF) is morally acceptable?","factor",13039
"Q400","Q400: Today, in the US, one in ten women has trouble getting or staying pregnant","factor",13039
"Q401_Q404R1","Q401_Q404r1: Black and White women experience sexism in different ways - Do you","factor",11089
"Q401_Q404R2","Q401_Q404r2: In order to achieve the changes we seek, we must fight racism as we","factor",11089
"Q401_Q404R3","Q401_Q404r3: It concerns me that racism within the lesbian and gay community mak","factor",11089
"Q401_Q404R4","Q401_Q404r4: It concerns me that sexism among Black men makes it difficult for B","factor",11089
"Q405","Q405: Some people feel that the government in Washington should make every effor","factor",5479
"Q406","Q406: Since early 2020, the U.S. has been dealing with disruptions and health an","factor",17545
"Q407R1","Q407r1: Personal or family health","factor",7806
"Q407R2","Q407r2: Personal or family finances","factor",7806
"Q407R3","Q407r3: Social changes like distancing and closures","factor",7806
"Q407R4","Q407r4: New policies and issues","factor",7806
"Q407R5","Q407r5: Other (Specify) - And what was it that made you","factor",7806
"Q407R5OE","Q407r5oe: And what was it that made you","factor",17545
"Q408","Q408: How often when you are inside a public place, like a store, office, or bus","factor",17545
"Q409","Q409: In general would you rate your physical health as excellent, very good, go","factor",17545
"Q410","Q410: In general would you rate your mental health as excellent, very good, good","factor",17545
"Q411_Q416R1","Q411_Q416r1: Little interest or pleasure in doing things - Over the last 2 weeks","factor",17545
"Q411_Q416R2","Q411_Q416r2: Feeling down, depressed, or hopeless - Over the last 2 weeks, how o","factor",17545
"Q411_Q416R3","Q411_Q416r3: Feeling nervous, anxious, or on edge - Over the last 2 weeks, how o","factor",17545
"Q411_Q416R4","Q411_Q416r4: Feeling afraid as if something awful might happen - Over the last 2","factor",17545
"Q411_Q416R5","Q411_Q416r5: My mind can","factor",17545
"Q411_Q416R6","Q411_Q416r6: Uncertainty makes me uneasy, anxious or stressed - Over the last 2","factor",17545
"SPLITQ417_Q424","splitQ417_Q424: Holds split var","factor",17545
"Q417_Q424R1","Q417_Q424r1: Reparations to Black Americans to address inequities created by gen","factor",2688
"Q417_Q424R2","Q417_Q424r2: Reparations to Black Americans to address America","factor",2759
"Q417_Q424R3","Q417_Q424r3: Shifting some funds from local police departments to local social s","factor",2688
"Q417_Q424R4","Q417_Q424r4: Defunding local police departments. - To what degree would you supp","factor",2759
"Q417_Q424R5","Q417_Q424r5: Developing a federal standard in education, ensuring that kindergar","factor",2688
"Q417_Q424R6","Q417_Q424r6: Developing a federal standard in education, ensuring that kindergar","factor",2759
"Q417_Q424R7","Q417_Q424r7: Ensuring affirmative action in jobs and universities so that Blacks","factor",2688
"Q417_Q424R8","Q417_Q424r8: Ensuring affirmative action in jobs and universities so that everyo","factor",2759
"Q425","Q425: How important is religion in your life","factor",17545
"Q426R1","Q426r1: NAME: - Earlier you mentioned that you participate in worship services o","factor",17545
"Q426R2","Q426r2: CITY: - Earlier you mentioned that you participate in worship services o","factor",17545
"NOANSWERQ426_R3","noanswerQ426_r3: Earlier you mentioned that you participate in worship services","factor",11420
"Q427R1","Q427r1: NAME: - Earlier you mentioned that you do not participate in worship ser","factor",17545
"Q427R2","Q427r2: CITY: - Earlier you mentioned that you do not participate in worship ser","factor",17545
"NOANSWERQ427_R3","noanswerQ427_r3: Earlier you mentioned that you do not participate in worship se","factor",6125
"Q428R1","Q428r1: Percent White - Please indicate the approximate racial/ethnic compositio","numeric",11420
"Q428R2","Q428r2: Percent Black - Please indicate the approximate racial/ethnic compositio","numeric",11420
"Q428R3","Q428r3: Percent Hispanic - Please indicate the approximate racial/ethnic composi","numeric",11420
"Q428R4","Q428r4: Percent Asian - Please indicate the approximate racial/ethnic compositio","numeric",11420
"Q428R6","Q428r6: Percent American Indian/Native Indian - Please indicate the approximate","numeric",11420
"Q428R5","Q428r5: Percent Other - Please indicate the approximate racial/ethnic compositio","numeric",11420
"Q429_Q440R1","Q429_Q440r1: Antisemitism no longer matters in the US - Please indicate your lev","factor",17545
"Q429_Q440R2","Q429_Q440r2: Discrimination against Muslims will soon be a thing of the past - P","factor",17545
"Q429_Q440R3","Q429_Q440r3: Our social structure system privileges Christians - Please indicate","factor",17545
"Q429_Q440R4","Q429_Q440r4: Jews have more power and influence than other groups in this countr","factor",17545
"Q429_Q440R5","Q429_Q440r5: America must protect and preserve its White European heritage - Ple","factor",17545
"Q429_Q440R6","Q429_Q440r6: America must protect and preserve its multiracial heritage - Please","factor",17545
"Q429_Q440R7","Q429_Q440r7: The federal government should advocate the values of racial minorit","factor",17545
"Q429_Q440R8","Q429_Q440r8: The federal government should advocate the values of Whites - Pleas","factor",17545
"Q429_Q440R9","Q429_Q440r9: The federal government should advocate Christian values - Please in","factor",17545
"Q429_Q440R10","Q429_Q440r10: The federal government should advocate the values of religious min","factor",17545
"Q429_Q440R11","Q429_Q440r11: America must protect and preserve its Christian heritage - Please","factor",17545
"Q429_Q440R12","Q429_Q440r12: America must protect and preserve its multi-religious heritage - P","factor",17545
"Q441_Q452R1","Q441_Q452r1: Been stopped and questioned by the police while in a car. - People","factor",17545
"Q441_Q452R2","Q441_Q452r2: Been stopped and questioned by the police while you were on foot. -","factor",17545
"Q441_Q452R3","Q441_Q452r3: Been charged a fine or fee for a non-criminal infraction, such as d","factor",17545
"Q441_Q452R4","Q441_Q452r4: Been arrested, booked, or charged with a crime. - People come into","factor",17545
"Q441_Q452R5","Q441_Q452r5: Been convicted of a crime, even if you weren't guilty. - People com","factor",17545
"Q441_Q452R6","Q441_Q452r6: Been charged a fine for a criminal conviction. - People come into c","factor",17545
"Q441_Q452R7","Q441_Q452r7: Been on probation or parole. - People come into contact with the cr","factor",17545
"Q441_Q452R8","Q441_Q452r8: Spent time in jail or prison, including juvenile detention. - Peopl","factor",17545
"Q441_Q452R9","Q441_Q452r9: Been the victim of a crime. - People come into contact with the cri","factor",17545
"Q441_Q452R10","Q441_Q452r10: Had a close friend or family member arrested, booked, or charged w","factor",17545
"Q441_Q452R11","Q441_Q452r11: Had a close friend or family member convicted of a crime, even if","factor",17545
"Q441_Q452R12","Q441_Q452r12: Had a close friend or family member who spent time in jail, prison","factor",17545
"Q453","Q453: How old were you when you first had involuntary contact with police, law e","factor",17545
"Q454","Q454: How many times have you had an involuntary encounter with law enforcement","factor",11564
"Q455","Q455: Would you say the experiences dealing with law enforcement were mostly pos","factor",11564
"Q456_Q461R1","Q456_Q461r1: Avoid walking or driving in wealthier neighborhoods - How often do","factor",17545
"Q456_Q461R2","Q456_Q461r2: Avoid walking or driving in lower-income neighborhoods - How often","factor",17545
"Q456_Q461R3","Q456_Q461r3: Avoid walking or driving in my own, or very similar neighborhoods -","factor",17545
"Q456_Q461R4","Q456_Q461r4: Avoid gathering in groups to avoid appearance of wrongdoing - How o","factor",17545
"Q456_Q461R5","Q456_Q461r5: Carry myself in a way that makes me look non-threatening - How ofte","factor",17545
"Q456_Q461R6","Q456_Q461r6: Turn to my neighbors and local groups to help solve problems rather","factor",17545
"Q462","Q462: If you had trouble with the police - like a traffic violation or being acc","factor",17545
"Q463","Q463: Have you ever used the camera on your mobile device to record police misco","factor",17545
"Q464","Q464: Have you done that within the past 12 months?","factor",2148
"Q465R1","Q465r1: Myself - Were you recording an incident involving yourself or someone el","factor",2148
"Q465R2","Q465r2: Someone else - Were you recording an incident involving yourself or some","factor",2148
"Q466","Q466: Do you personally know anyone who has been shot by police or law enforceme","factor",17545
"Q467_Q469R1","Q467_Q469r1: Helped someone seek immigration-related information or services - N","factor",17545
"Q467_Q469R2","Q467_Q469r2: Refrained from reporting a minor crime to protect someone from poss","factor",17545
"Q467_Q469R3","Q467_Q469r3: Intervened or reported a crime/incident of harassment committed aga","factor",17545
"Q470","Q470: Have you or someone in your family, or a close personal friend ever used a","factor",17545
"Q471R1","Q471r1: Me - Who was it that used that program?","numeric",0
"Q471R2","Q471r2: My child - Who was it that used that program?","numeric",0
"Q471R3","Q471r3: My parent - Who was it that used that program?","numeric",0
"Q471R4","Q471r4: My spouse/partner - Who was it that used that program?","numeric",0
"Q471R5","Q471r5: My brother or sister - Who was it that used that program?","numeric",0
"Q471R6","Q471r6: My aunt or uncle - Who was it that used that program?","factor",1838
"Q471R7","Q471r7: My cousin or other relative - Who was it that used that program?","factor",1838
"Q471R8","Q471r8: My grandparent - Who was it that used that program?","factor",1838
"Q471R9","Q471r9: A close personal friend - Who was it that used that program?","factor",1838
"Q472_Q474R1","Q472_Q474r1: I have power to define myself in interactions with police - People","factor",17545
"Q472_Q474R2","Q472_Q474r2: Many officers see people like me as animals, thugs, and less than h","factor",17545
"Q472_Q474R3","Q472_Q474r3: The police are very present in my neighborhood but do not get to kn","factor",17545
"Q475R1","Q475r1: Establish community control over the police force - Please rank the foll","factor",16958
"Q475R2","Q475r2: Reduce policing budget and role in the community - Please rank the follo","factor",16914
"Q475R3","Q475r3: Invest more resources in education, jobs and health - Please rank the fo","factor",17303
"Q475R4","Q475r4: Require police to focus their attention on serious crimes and violence,","factor",17265
"Q475R5","Q475r5: Abolish the police and create a community-led safety initiative. - Pleas","factor",16777
"Q475R6","Q475r6: Increase the size of the police force - Please rank the following police","factor",17013
"Q475R7","Q475r7: Train police more to limit racial bias - Please rank the following polic","factor",17126
"Q476","Q476: Which of the following statements most aligns with your experience with po","factor",17545
"Q477","Q477: Which of the following characterizations most describe your experience wit","factor",17545
"Q478_Q483R1","Q478_Q483r1: The official rules say the police can","factor",17545
"Q478_Q483R2","Q478_Q483r2: There","factor",17545
"Q478_Q483R3","Q478_Q483r3: Democracy protects me from police mistreatment - How much do you ag","factor",17545
"Q478_Q483R4","Q478_Q483r4: I feel like a full and equal citizen in this country with all the r","factor",17545
"Q478_Q483R5","Q478_Q483r5: If there is a safety issue in my community I feel comfortable calli","factor",17545
"Q478_Q483R6","Q478_Q483r6: I do not trust the police to protect my community - How much do you","factor",17545
"Q484","Q484: In general, do the police treat Black women better than Black men, worse,","factor",17545
"Q485","Q485: When it comes to the treatment of Black people by the police and the treat","factor",17545
"Q486","Q486: Previously you indicated that you may have been arrested, detained or conv","factor",9392
"Q487_Q489R1","Q487_Q489r1: The judge - Take a minute to think about times you visited the cour","factor",5605
"Q487_Q489R2","Q487_Q489r2: Your attorney/lawyer representing you - Take a minute to think abou","factor",5605
"Q487_Q489R3","Q487_Q489r3: The prosecutor/opposing lawyer - Take a minute to think about times","factor",5605
"Q490R1","Q490r1: Yes, I have been stopped or questioned - Do you know anyone who has been","factor",17545
"Q490R2","Q490r2: Yes, a close family member has been stopped or questioned","factor",17545
"Q490R3","Q490r3: Yes, a close family member has been detained or deported","factor",17545
"Q490R4","Q490r4: Yes, some other relative has been stopped or questioned","factor",17545
"Q490R5","Q490r5: Yes, some other relative has been detained or deported","factor",17545
"Q490R6","Q490r6: Yes, a friend or co-worker has been stopped or questioned","factor",17545
"Q490R7","Q490r7: Yes, a friend or co-worker has been detained or deported - Do you know a","factor",17545
"Q490R8","Q490r8: No, do not know anyone - Do you know anyone who has been stopped or ques","factor",17545
"Q491A","Q491A: Would you say their experience dealing with law enforcement for immigrati","factor",3588
"Q491R1","Q491r1: No, I do not know anyone undocumented - Do you know anyone who is curren","factor",17545
"Q491R2","Q491r2: Yes, one of my parents - Do you know anyone who is currently an undocume","factor",17545
"Q491R3","Q491r3: Yes, one of my siblings - Do you know anyone who is currently an undocum","factor",17545
"Q491R4","Q491r4: Yes, one of my children - Do you know anyone who is currently an undocum","factor",17545
"Q491R5","Q491r5: Yes, another family member (aunt, grandparent, cousin) - Do you know any","factor",17545
"Q491R6","Q491r6: Yes, a close personal friend - Do you know anyone who is currently an un","factor",17545
"Q491R7","Q491r7: Yes, someone I work with - Do you know anyone who is currently an undocu","factor",17545
"Q492","Q492: How worried, if at all, are you that someone you know could be detained or","factor",17545
"Q493","Q493: How worried, if at all, are you that YOU could be detained or deported for","factor",10288
"Q494_Q503R1","Q494_Q503r1: Shares my race - Which of the following traits do you prefer in a c","factor",17545
"Q494_Q503R2","Q494_Q503r2: Shares my gender - Which of the following traits do you prefer in a","factor",17545
"Q494_Q503R3","Q494_Q503r3: Devoted to their religion - Which of the following traits do you pr","factor",17545
"Q494_Q503R4","Q494_Q503r4: Young - Which of the following traits do you prefer in a candidate","factor",17545
"Q494_Q503R5","Q494_Q503r5: Working-class background - Which of the following traits do you pre","factor",17545
"Q494_Q503R6","Q494_Q503r6: Wealthy/rich - Which of the following traits do you prefer in a can","factor",17545
"Q494_Q503R7","Q494_Q503r7: Has experience, been elected to office before - Which of the follow","factor",17545
"Q494_Q503R8","Q494_Q503r8: Is a newcomer to politics - Which of the following traits do you pr","factor",17545
"Q494_Q503R9","Q494_Q503r9: Endorsements from interest groups I support - Which of the followin","factor",17545
"Q494_Q503R10","Q494_Q503r10: Candidate training experience - Which of the following traits do y","factor",17545
"Q504R1","Q504r1: My employment - In the past year, which of the following has caused you","numeric",17545
"Q504R2","Q504r2: COVID-19 - In the past year, which of the following has caused you the m","numeric",17545
"Q504R3","Q504r3: Climate change - In the past year, which of the following has caused you","numeric",17545
"Q504R4","Q504r4: Police Brutality - In the past year, which of the following has caused y","numeric",17545
"Q504R5","Q504r5: Terrorism - In the past year, which of the following has caused you the","numeric",17545
"Q504R6","Q504r6: White supremacy - In the past year, which of the following has caused yo","numeric",17545
"Q504R7","Q504r7: Threats to my religious freedom - In the past year, which of the followi","numeric",17545
"Q504R8","Q504r8: US immigration policy - In the past year, which of the following has cau","numeric",17545
"Q504R11","Q504r11: Donald Trump - In the past year, which of the following has caused you","numeric",17545
"Q504R12","Q504r12: Joe Biden - In the past year, which of the following has caused you the","numeric",17545
"Q505_Q508R1","Q505_Q508r1: People acted as if they are suspicious of you. - Here are a few thi","factor",17545
"Q505_Q508R2","Q505_Q508r2: People called you offensive names or treated you with less respect.","factor",17545
"Q505_Q508R3","Q505_Q508r3: People expressed support for you. - Here are a few things that some","factor",17545
"Q505_Q508R4","Q505_Q508r4: You saw graffiti targeting","factor",17545
"Q509_Q511R1","Q509_Q511r1: You were singled out or treated unfairly by other government offici","factor",17545
"Q509_Q511R2","Q509_Q511r2: You heard or saw government officials or politicians make negative","factor",17545
"Q509_Q511R3","Q509_Q511r3: You were negatively affected by one of President Donald Trump's exe","factor",17545
"Q512R1","Q512r1: Working in Congress on bills concerning national issues. - Here is a lis","factor",17545
"Q512R2","Q512r2: Helping people in the district who have personal problems with governmen","factor",17545
"Q512R3","Q512r3: Making sure the state/district gets its fair share of government money a","factor",17545
"Q513_Q516R1","Q513_Q516r1: In the best kind of government, about half of all elected officials","factor",17545
"Q513_Q516R2","Q513_Q516r2: Men make better political leaders than women do. - Please tell us w","factor",17545
"Q513_Q516R3","Q513_Q516r3: Discrimination against women is no longer a problem in the U.S. - P","factor",17545
"SPLITQ517_Q520","splitQ517_Q520: New Single Select Question","factor",17545
"SPLITA","splitA: New Single Select Question","factor",17545
"Q517","Q517: Consider how women are viewed by Americans in general. As viewed by most A","factor",8661
"Q518","Q518: Consider how women are viewed by","factor",8884
"Q519","Q519: Consider how women are viewed by Americans in general. As viewed by most A","factor",8661
"Q520","Q520: Consider how women are viewed by","factor",8884
"Q521_Q528R1","Q521_Q528r1: Many women interpret innocent remarks or acts as being sexist. - Do","factor",17545
"Q521_Q528R2","Q521_Q528r2: Most women fail to appreciate fully all that men do for them. - Do","factor",17545
"Q521_Q528R3","Q521_Q528r3: Women seek to gain power by getting control over men. - Do you agre","factor",17545
"Q521_Q528R4","Q521_Q528r4: Once a woman gets a man to commit to her, she tries to put him on a","factor",17545
"Q521_Q528R5","Q521_Q528r5: Women should be cherished and protected by men. - Do you agree stro","factor",17545
"Q521_Q528R6","Q521_Q528r6: Men are incomplete without women. - Do you agree strongly, agree so","factor",17545
"Q521_Q528R7","Q521_Q528r7: Women, compared to men, tend to have a superior moral sensibility.","factor",17545
"Q521_Q528R8","Q521_Q528r8: Men should be willing to sacrifice their own well being in order to","factor",17545
"Q529","Q529: Sometimes people find themselves the object of unwanted sexual advances or","factor",17545
"Q530","Q530: Have you ever reported unwanted sexual conversations or physical contact t","factor",7682
"Q531","Q531: Was action taken when you reported the incident?","factor",2155
"Q532","Q532: On the scale below, how would you rate your experience reporting unwanted","factor",1644
"Q533","Q533: On the scale below, how would you rate your experience reporting unwanted","factor",1500
"Q534R1","Q534r1: No, none of these - Over the past few years many people have posted thei","factor",17545
"Q534R2","Q534r2: I have shared my support for #MeToo online - Over the past few years man","factor",17545
"Q534R3","Q534r3: I have shared my opposition to #MeToo online - Over the past few years m","factor",17545
"Q534R4","Q534r4: I have discussed my support for MeToo in person - Over the past few year","factor",17545
"Q534R5","Q534r5: I have discussed my opposition to MeToo in person - Over the past few ye","factor",17545
"Q535_Q538R1","Q535_Q538r1: Authority where unwanted contact occurred (e.g. employer, school, r","factor",17545
"Q535_Q538R2","Q535_Q538r2: Police - In the future, if you were ever to find yourself the objec","factor",17545
"Q535_Q538R3","Q535_Q538r3: Family - In the future, if you were ever to find yourself the objec","factor",17545
"Q535_Q538R4","Q535_Q538r4: Friends - In the future, if you were ever to find yourself the obje","factor",17545
"Q539R1","Q539r1: Percent White - Please indicate the approximate racial/ethnic compositio","numeric",17545
"Q539R2","Q539r2: Percent Black - Please indicate the approximate racial/ethnic compositio","numeric",17545
"Q539R3","Q539r3: Percent Hispanic - Please indicate the approximate racial/ethnic composi","numeric",17545
"Q539R4","Q539r4: Percent Asian - Please indicate the approximate racial/ethnic compositio","numeric",17545
"Q539R6","Q539r6: Percent American Indian/Native American - Please indicate the approximat","numeric",17545
"Q539R5","Q539r5: Percent Other - Please indicate the approximate racial/ethnic compositio","numeric",17545
"Q540R1","Q540r1: Separate from the approximate racial/ethnic composition, about what perc","numeric",17545
"Q541","Q541: For each item, indicate which statement you agree with most even if neithe","factor",17545
"Q542","Q542: For each item, indicate which statement you agree with most even if neithe","factor",17545
"Q543","Q543: For each item, indicate which statement you agree with most even if neithe","factor",17545
"Q544","Q544: For each item, indicate which statement you agree with most even if neithe","factor",17545
"Q545R7","Q545r7: Indicate your perceptions of Latino immigrants on a seven-point scale, b","factor",17545
"Q546R7","Q546r7: Indicate your perceptions of Latino immigrants on a seven-point scale, b","factor",17545
"Q547R7","Q547r7: Indicate your perceptions of Latino immigrants on a seven-point scale, b","factor",17545
"Q548R7","Q548r7: Indicate your perceptions of Latino immigrants on a seven-point scale, b","factor",17545
"Q549R7","Q549r7: Indicate your perceptions of Latino immigrants on a seven-point scale, b","factor",17545
"Q550R1","Q550r1: Yes, my spouse, partner, boyfriend or girlfriend - Do you know anyone wh","factor",17545
"Q550R2","Q550r2: Yes, one of my parents or grandparents - Do you know anyone who is a Lat","factor",17545
"Q550R3","Q550r3: Yes, one of my children - Do you know anyone who is a Latino immigrant?","factor",17545
"Q550R4","Q550r4: Yes, one of my close friends - Do you know anyone who is a Latino immigr","factor",17545
"Q550R5","Q550r5: No, I do not know a Latino immigrant - Do you know anyone who is a Latin","factor",17545
"Q550R6","Q550r6: Not sure - Do you know anyone who is a Latino immigrant?","factor",17545
"Q551_Q559R1","Q551_Q559r1: What happens to Black people will have","factor",17545
"Q551_Q559R2","Q551_Q559r2: What happens to Hispanic people will have","factor",17545
"Q551_Q559R3","Q551_Q559r3: What happens to LGBTQ people will have","factor",17545
"Q551_Q559R4","Q551_Q559r4: What happens to White people will have","factor",17545
